# Reordered matrix from pam100.dat.old
#
# This matrix was produced by "pam" Version 1.0.7 [13-Aug-03]
#
# PAM 100 substitution matrix, scale = ln(2)/2 = 0.346574
#
# Expected score = -1.99, Entropy = 1.18 bits
#
# Lowest score = -9, Highest score = 12
#
     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00
     10.00     10.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00      2.00
     10.00      2.00      4.00     -1.00     -3.00     -1.00      0.00     -5.00      1.00     -3.00     -2.00     -3.00     -3.00     -2.00     -1.00      1.00     -2.00     -3.00      1.00      1.00      0.00     -7.00     -1.00     -4.00     -1.00
     10.00      2.00     -1.00      4.00     -6.00      4.00      3.00     -6.00     -1.00      1.00     -3.00      0.00     -5.00     -4.00      4.00     -3.00      0.00     -3.00      0.00     -1.00     -4.00     -6.00     -2.00     -4.00      2.00
     10.00      2.00     -3.00     -6.00      9.00     -7.00     -8.00     -7.00     -5.00     -4.00     -3.00     -8.00     -8.00     -7.00     -5.00     -4.00     -8.00     -5.00     -1.00     -4.00     -3.00     -9.00     -5.00     -1.00     -8.00
     10.00      2.00     -1.00      4.00     -7.00      5.00      4.00     -8.00     -1.00     -1.00     -4.00     -1.00     -6.00     -5.00      3.00     -3.00      0.00     -4.00     -1.00     -2.00     -4.00     -9.00     -2.00     -6.00      3.00
     10.00      2.00      0.00      3.00     -8.00      4.00      5.00     -8.00     -1.00     -1.00     -3.00     -1.00     -5.00     -4.00      1.00     -2.00      2.00     -3.00     -1.00     -2.00     -3.00     -9.00     -2.00     -5.00      4.00
     10.00      2.00     -5.00     -6.00     -7.00     -8.00     -8.00      8.00     -6.00     -3.00      0.00     -7.00      0.00     -1.00     -5.00     -6.00     -7.00     -6.00     -4.00     -5.00     -3.00     -1.00     -4.00      4.00     -7.00
     10.00      2.00      1.00     -1.00     -5.00     -1.00     -1.00     -6.00      5.00     -4.00     -5.00     -3.00     -6.00     -4.00     -1.00     -2.00     -3.00     -5.00      0.00     -2.00     -3.00     -9.00     -2.00     -7.00     -2.00
     10.00      2.00     -3.00      1.00     -4.00     -1.00     -1.00     -3.00     -4.00      7.00     -4.00     -2.00     -3.00     -4.00      2.00     -1.00      3.00      1.00     -2.00     -3.00     -3.00     -4.00     -2.00     -1.00      1.00
     10.00      2.00     -2.00     -3.00     -3.00     -4.00     -3.00      0.00     -5.00     -4.00      6.00     -3.00      1.00      1.00     -3.00     -4.00     -4.00     -3.00     -3.00      0.00      3.00     -7.00     -2.00     -3.00     -3.00
     10.00      2.00     -3.00      0.00     -8.00     -1.00     -1.00     -7.00     -3.00     -2.00     -3.00      5.00     -4.00      0.00      1.00     -3.00      0.00      2.00     -1.00     -1.00     -4.00     -6.00     -2.00     -6.00     -1.00
     10.00      2.00     -3.00     -5.00     -8.00     -6.00     -5.00      0.00     -6.00     -3.00      1.00     -4.00      6.00      3.00     -4.00     -4.00     -2.00     -5.00     -4.00     -3.00      0.00     -3.00     -3.00     -3.00     -4.00
     10.00      2.00     -2.00     -4.00     -7.00     -5.00     -4.00     -1.00     -4.00     -4.00      1.00      0.00      3.00      9.00     -4.00     -4.00     -2.00     -1.00     -3.00     -1.00      1.00     -6.00     -2.00     -5.00     -2.00
     10.00      2.00     -1.00      4.00     -5.00      3.00      1.00     -5.00     -1.00      2.00     -3.00      1.00     -4.00     -4.00      5.00     -2.00     -1.00     -2.00      1.00      0.00     -3.00     -5.00     -1.00     -2.00      0.00
     10.00      2.00      1.00     -3.00     -4.00     -3.00     -2.00     -6.00     -2.00     -1.00     -4.00     -3.00     -4.00     -4.00     -2.00      7.00     -1.00     -1.00      0.00     -1.00     -3.00     -7.00     -2.00     -7.00     -1.00
     10.00      2.00     -2.00      0.00     -8.00      0.00      2.00     -7.00     -3.00      3.00     -4.00      0.00     -2.00     -2.00     -1.00     -1.00      6.00      1.00     -2.00     -2.00     -3.00     -7.00     -2.00     -6.00      5.00
     10.00      2.00     -3.00     -3.00     -5.00     -4.00     -3.00     -6.00     -5.00      1.00     -3.00      2.00     -5.00     -1.00     -2.00     -1.00      1.00      7.00     -1.00     -3.00     -4.00      1.00     -2.00     -6.00     -1.00
     10.00      2.00      1.00      0.00     -1.00     -1.00     -1.00     -4.00      0.00     -2.00     -3.00     -1.00     -4.00     -3.00      1.00      0.00     -2.00     -1.00      4.00      2.00     -2.00     -3.00     -1.00     -4.00     -2.00
     10.00      2.00      1.00     -1.00     -4.00     -2.00     -2.00     -5.00     -2.00     -3.00      0.00     -1.00     -3.00     -1.00      0.00     -1.00     -2.00     -3.00      2.00      5.00      0.00     -7.00     -1.00     -4.00     -2.00
     10.00      2.00      0.00     -4.00     -3.00     -4.00     -3.00     -3.00     -3.00     -3.00      3.00     -4.00      0.00      1.00     -3.00     -3.00     -3.00     -4.00     -2.00      0.00      5.00     -9.00     -2.00     -4.00     -3.00
     10.00      2.00     -7.00     -6.00     -9.00     -9.00     -9.00     -1.00     -9.00     -4.00     -7.00     -6.00     -3.00     -6.00     -5.00     -7.00     -7.00      1.00     -3.00     -7.00     -9.00     12.00     -6.00     -2.00     -8.00
     10.00      2.00     -1.00     -2.00     -5.00     -2.00     -2.00     -4.00     -2.00     -2.00     -2.00     -2.00     -3.00     -2.00     -1.00     -2.00     -2.00     -2.00     -1.00     -1.00     -2.00     -6.00     -2.00     -4.00     -2.00
     10.00      2.00     -4.00     -4.00     -1.00     -6.00     -5.00      4.00     -7.00     -1.00     -3.00     -6.00     -3.00     -5.00     -2.00     -7.00     -6.00     -6.00     -4.00     -4.00     -4.00     -2.00     -4.00      9.00     -6.00
     10.00      2.00     -1.00      2.00     -8.00      3.00      4.00     -7.00     -2.00      1.00     -3.00     -1.00     -4.00     -2.00      0.00     -1.00      5.00     -1.00     -2.00     -2.00     -3.00     -8.00     -2.00     -6.00      5.00
